"Municipality","Cases","Hospitalization","Deaths","Cases.per.100k","Hospitalization.per.100k","Deaths.per.100k"
"Sittard-Geleen",313,98,44,338.7,106,47.6
"Sliedrecht",38,7,3,150.7,27.8,11.9
"Sluis",16,7,4,68.9,30.2,17.2
"Smallingerland",43,7,4,76.6,12.5,7.1
"Soest",70,22,10,150.2,47.2,21.5
"Someren",81,29,6,418,149.7,31
"Son en Breugel",64,27,13,369.5,155.9,75.1
"Stadskanaal",5,2,1,15.8,6.3,3.2
"Staphorst",52,8,4,303.3,46.7,23.3
"Stede Broec",45,18,4,207,82.8,18.4
"Steenbergen",63,12,7,257.1,49,28.6
"Steenwijkerland",76,12,4,172.2,27.2,9.1
"Stein",94,39,15,376,156,60
"Stichtse Vecht",83,30,6,127.8,46.2,9.2
"Súdwest-Fryslân",69,17,1,76.7,18.9,1.1
"Terneuzen",92,22,2,169,40.4,3.7
"Terschelling",2,0,0,40.9,0,0
"Texel",11,4,1,81,29.5,7.4
"Teylingen",41,12,0,109.5,32.1,0
"Tholen",126,38,13,489.2,147.5,50.5
"Tiel",87,38,16,206.4,90.1,37.9
"Tilburg",591,166,128,268.9,75.5,58.2
"Tubbergen",72,10,3,338.4,47,14.1
"Twenterand",50,11,2,148.2,32.6,5.9
"Tynaarlo",36,8,0,106.3,23.6,0
"Tytsjerksteradiel",15,4,1,46.8,12.5,3.1
"Uden",235,99,58,557.9,235,137.7
"Uitgeest",21,5,1,153.9,36.6,7.3
"Uithoorn",43,16,1,145.9,54.3,3.4
"Urk",57,19,4,271,90.3,19
"Utrecht",683,207,70,190.9,57.9,19.6
"Utrechtse Heuvelrug",83,26,6,167.3,52.4,12.1
"Vaals",28,10,1,277.3,99,9.9
"Valkenburg aan de Geul",61,16,6,372.9,97.8,36.7
"Valkenswaard",122,15,28,391,48.1,89.7
"Veendam",8,2,0,29.2,7.3,0
"Veenendaal",120,39,9,180.5,58.7,13.5
"Veere",24,6,1,109.7,27.4,4.6
"Veldhoven",109,25,15,239.8,55,33
"Velsen",227,28,26,330.6,40.8,37.9
"Venlo",260,118,51,255.4,115.9,50.1
"Venray",95,36,16,217.9,82.6,36.7
"Vijfheerenlanden",188,27,33,330.9,47.5,58.1
"Vlaardingen",174,31,16,236.9,42.2,21.8
"Vlieland",0,0,0,0,0,0
"Vlissingen",47,9,5,105.9,20.3,11.3
"Voerendaal",39,16,6,312.7,128.3,48.1
"Voorschoten",32,9,5,125,35.2,19.5
"Voorst",52,11,8,211.8,44.8,32.6
"Vught",90,37,15,338.9,139.3,56.5
"Waadhoeke",77,10,7,167.1,21.7,15.2
"Waalre",26,6,4,149,34.4,22.9
"Waalwijk",124,23,27,255,47.3,55.5
"Waddinxveen",45,15,5,153.6,51.2,17.1
"Wageningen",41,19,8,103.3,47.9,20.2
"Wassenaar",39,8,9,148.8,30.5,34.3
"Waterland",26,14,3,149.2,80.4,17.2
"Weert",110,61,10,219.5,121.7,20
"Weesp",37,9,1,187.5,45.6,5.1
"West Betuwe",147,40,17,287.1,78.1,33.2
"West Maas en Waal",69,16,6,357.1,82.8,31.1
"Westerkwartier",54,14,4,85.2,22.1,6.3
"Westerveld",29,8,2,149,41.1,10.3
"Westervoort",30,12,4,200.4,80.1,26.7
"Westerwolde",6,5,0,23.3,19.4,0
"Westland",212,49,22,192.1,44.4,19.9
"Weststellingwerf",23,2,2,88.7,7.7,7.7
"Westvoorne",22,6,0,149.4,40.7,0
"Wierden",39,4,3,159.6,16.4,12.3
"Wijchen",119,38,9,289.4,92.4,21.9
"Wijdemeren",23,7,0,94.4,28.7,0
"Wijk bij Duurstede",25,8,1,104.6,33.5,4.2
"Winterswijk",29,3,1,100.5,10.4,3.5
"Woensdrecht",50,5,5,228.5,22.8,22.8
"Woerden",126,46,15,240.9,88,28.7
"Wormerland",35,17,6,214.7,104.3,36.8
"Woudenberg",24,9,1,179.6,67.4,7.5
"Zaanstad",291,104,35,185.7,66.4,22.3
"Zaltbommel",60,18,6,207.6,62.3,20.8
"Zandvoort",29,10,7,169.4,58.4,40.9
"Zeewolde",29,9,3,128,39.7,13.2
"Zeist",117,35,16,180.2,53.9,24.6
"Zevenaar",78,42,12,178.3,96,27.4
"Zoetermeer",150,38,9,119.7,30.3,7.2
"Zoeterwoude",7,2,0,81.3,23.2,0
"Zuidplas",105,20,7,239.2,45.6,15.9
"Zundert",60,19,9,275,87.1,41.2
"Zutphen",54,18,8,112.6,37.5,16.7
"Zwartewaterland",120,32,13,528.9,141,57.3
"Zwijndrecht",100,15,6,223.5,33.5,13.4
"Zwolle",296,52,40,229.8,40.4,31
