Municipality,Cases,Hospitalization,Deaths,Population,Cases per 100k,Hospitalization per 100k,Deaths per 100k
Voerendaal,42,16,7,12471,336.8,128.3,56.1
Voorschoten,36,9,5,25603,140.6,35.2,19.5
Voorst,54,11,9,24546,220,44.8,36.7
Vught,96,39,15,26554,361.5,146.9,56.5
Waadhoeke,86,11,8,46079,186.6,23.9,17.4
Waalre,27,7,4,17454,154.7,40.1,22.9
Waalwijk,135,23,29,48620,277.7,47.3,59.6
Waddinxveen,48,16,5,29293,163.9,54.6,17.1
Wageningen,42,19,9,39673,105.9,47.9,22.7
Wassenaar,44,8,9,26214,167.8,30.5,34.3
Waterland,29,14,3,17422,166.5,80.4,17.2
Weert,118,63,11,50107,235.5,125.7,22
Weesp,57,9,1,19729,288.9,45.6,5.1
West Betuwe,158,41,21,51198,308.6,80.1,41
West Maas en Waal,74,17,7,19320,383,88,36.2
Westerkwartier,55,14,4,63375,86.8,22.1,6.3
Westerveld,32,8,3,19460,164.4,41.1,15.4
Westervoort,31,12,4,14973,207,80.1,26.7
Westerwolde,6,5,0,25796,23.3,19.4,0
Westland,231,51,24,110357,209.3,46.2,21.7
Weststellingwerf,26,3,4,25916,100.3,11.6,15.4
Westvoorne,23,6,0,14728,156.2,40.7,0
Wierden,43,4,5,24440,175.9,16.4,20.5
Wijchen,124,38,10,41124,301.5,92.4,24.3
Wijdemeren,24,7,0,24360,98.5,28.7,0
Wijk bij Duurstede,28,8,1,23910,117.1,33.5,4.2
Winterswijk,35,3,2,28865,121.3,10.4,6.9
Woensdrecht,58,5,6,21883,265,22.8,27.4
Woerden,136,45,16,52294,260.1,86.1,30.6
Wormerland,41,18,6,16299,251.5,110.4,36.8
Woudenberg,27,9,1,13362,202.1,67.4,7.5
Zaanstad,321,104,38,156711,204.8,66.4,24.2
Zaltbommel,73,18,8,28901,252.6,62.3,27.7
Zandvoort,30,10,8,17116,175.3,58.4,46.7
Zeewolde,34,11,3,22656,150.1,48.6,13.2
Zeist,134,33,16,64932,206.4,50.8,24.6
Zevenaar,80,42,13,43740,182.9,96,29.7
Zoetermeer,162,46,10,125283,129.3,36.7,8
Zoeterwoude,8,3,0,8611,92.9,34.8,0
Zuidplas,117,22,14,43894,266.6,50.1,31.9
Zundert,64,19,9,21821,293.3,87.1,41.2
Zutphen,67,20,8,47942,139.8,41.7,16.7
Zwartewaterland,134,35,15,22690,590.6,154.3,66.1
Zwijndrecht,112,16,9,44741,250.3,35.8,20.1
Zwolle,329,53,44,128831,255.4,41.1,34.2
